st,t,f,t,a,t,v,t,re,st,t,f,t,a,t,v,t,re,st,t,f,t,a,t,v,t,re,,st,t,f,t,a,t,v,t,re,st,t,f,t,a,t,v,t,re,st,t,f,t,a,t,v,t,re
0.05,0.05039,2.1117,0.052332,33.864,0,0,0.05163,215.18152,,,,,,,,,,,,,,,,,,,1,0.17,0.17744,0.45979,0.17331,4.91477,0.17872,0.68154,0.17855,311.5727,0.166666667,,,0.17048,6.00349,0.17326,0.50554,0.17175,266.18575,,,,,,,,,
0.1,0.09904,2.50113,0.10015,14.339,0.0511,2.81423,0.10023,281.18812,,,,,,,,,,,,,,,,,,,2,0.33,0.33425,0.47062,0.33425,0,0.33191,1.09533,0.33218,492.28487,0.333333333,0.32058,0.42081,0.32848,2.40838,0.33433,1.20643,0.33554,579.98197,,,,,,,,,
0.15,0.15117,2.73057,0.15059,-24.102,0.10008,4.01581,0.15186,140.59406,,,,,,,,,,,,,,,,,,,3,0.5,0.50757,0.45928,0.50344,-1.61932,0.50638,0.95335,0.50657,432.04748,0.5,0.49481,0.55016,0.4948,1.20419,0.50715,1.5044,0.50555,593.50766,,,,,,,,,
0.2,0.2033,2.67925,0.20254,-4.678,0.15239,2.00791,0.20197,123.43234,,,,,,,,,,,,,,,,,,,4,0.67,0.67675,0.44124,0.67263,0.02841,0.6766,0.81947,0.67682,381.15727,0.666666667,0.67732,0.67022,0.66944,-4.78185,0.67452,1.20407,0.67005,409.55816,,,,,,,,,
0.25,0.25195,2.45887,0.25098,2.84E-14,0.20228,1.61265,0.25209,143.23432,,,,,,,,,,,,,,,,,,,5,0.83,0.84182,0.43041,0.83769,-3.21023,0.84255,0.55172,0.83045,254.45104,0.833333333,0.83768,0.71057,0.83576,-4.78185,0.83242,0.40069,0.83391,133.09288,,,,,,,,,
0.3,0.30061,2.1117,0.30087,0.10169,0.24928,1.60474,0.3022,148.51485,,,,,,,,,,,,,,,,,,,6,1,1.00688,0.4299,1.00275,0,1.00851,0.27181,1.00069,127.74481,1,1.00491,0.64045,1.00208,0.01745,1.0038,0.00757,1.00291,1.08206,,,,,,,,,
0.35,0.35274,2.03019,0.35219,-4.7797,0.30084,1.60474,0.35232,111.55116,,,,,,,,,,,,,,,,,,,7,1.17,1.17194,0.43041,1.17607,-0.02841,1.17447,0.27586,1.17509,129.82196,1.166666667,1.17171,0.54023,1.17672,-4.78185,1.17515,-0.39532,1.17809,163.39044,,,,,,,,,
0.4,0.40139,2.00302,0.40219,3.55E-14,0.35072,1.20158,0.40243,111.55116,,,,,,,,,,,,,,,,,,,8,1.33,1.337,0.43093,1.337,0.02841,1.33617,0.27181,1.33702,128.78338,1.333333333,1.33038,0.45987,1.33056,3.63002,1.32194,-0.49296,1.33605,233.18305,,,,,,,,,
0.45,0.45004,2,0.45052,2.84E-14,0.40076,1.20158,0.45103,110.89109,,,,,,,,,,,,,,,,,,,9,1.5,1.50206,0.45,1.50619,3.26705,1.51064,0.54767,1.50311,256.52819,1.5,1.50631,0.41025,1.50936,1.18674,1.51178,-0.08998,1.50884,50.3156,,,,,,,,,
0.5,0.50217,2,0.5004,2.84E-14,0.44928,1.20158,0.50114,111.55116,,,,,,,,,,,,,,,,,,,10,1.67,1.67538,0.50052,1.66713,4.91477,1.67234,1.24138,1.67751,537.9822,1.666666667,1.66582,0.38975,1.67152,0.0349,1.67577,0.00285,1.67842,1.62308,,,,,,,,,
0.55,0.55083,2.00151,0.55029,0.10169,0.49932,1.20158,0.55125,111.55116,,,,,,,,,,,,,,,,,,,11,1.83,1.83631,0.53969,1.83631,0,1.83404,1.643,1.83945,659.49555,1.833333333,1.83391,0.38143,1.83784,0.01745,1.83537,0.00533,1.8359,1.08206,,,,,,,,,
0.6,0.60122,2.00151,0.60173,0.10169,0.55087,1.20158,0.60289,112.21122,,,,,,,,,,,,,,,,,,,12,2,2.0055,0.53041,2.00138,-4.91477,2.00426,1.22515,2.00969,495.40059,2,2.00211,0.38111,2.00416,1.22164,1.99937,0.10061,2.00201,51.39766,,,,,,,,,
