st,t,f,t,a,t,v,t,re
0.05,0.05039,2.1117,0.052332,33.864,0.0511,2.81423,0.05163,215.18152
0.1,0.09904,2.50113,0.10015,14.339,0.10008,4.01581,0.10023,281.18812
0.15,0.15117,2.73057,0.15059,-24.102,0.15239,2.00791,0.15186,140.59406
0.2,0.2033,2.67925,0.20254,-4.678,0.20228,1.61265,0.20197,123.43234
0.25,0.25195,2.45887,0.25098,2.84E-14,0.24928,1.60474,0.25209,143.23432
0.3,0.30061,2.1117,0.30087,0.10169,0.30084,1.60474,0.3022,148.51485
0.35,0.35274,2.03019,0.35219,-4.7797,0.35072,1.20158,0.35232,111.55116
0.4,0.40139,2.00302,0.40219,3.55E-14,0.40076,1.20158,0.40243,111.55116
0.45,0.45004,2,0.45052,2.84E-14,0.44928,1.20158,0.45103,110.89109
0.5,0.50217,2,0.5004,2.84E-14,0.49932,1.20158,0.50114,111.55116
0.55,0.55083,2.00151,0.55029,0.10169,0.55087,1.20158,0.55125,111.55116
0.6,0.60122,2.00151,0.60173,0.10169,0.60091,1.20949,0.60289,112.21122
0.65,0.64987,2.00151,0.65161,0.10169,0.65095,1.20158,0.653,111.55116
0.7,0.70026,2.00151,0.70149,2.84E-14,0.70099,1.20949,0.70159,111.55116
0.75,0.75239,2.00151,0.75293,3.55E-14,0.75254,1.20158,0.75323,111.55116
0.8,0.7993,2.00151,0.80126,2.13E-14,0.80107,1.20949,0.8003,111.55116
0.85,0.8497,2.00151,0.85114,2.13E-14,0.8511,1.20158,0.85194,111.55116
0.9,0.90009,2.00151,0.90215,43.424,0.90251,4.81423,0.90205,366.9967
0.95,0.95048,2.67019,0.95053,-14.339,0.95361,3.62055,0.95216,287.12871
1,1.00087,2.48,1.0005,-9.5593,1.00334,2.81423,1.00076,232.34323
1.05,1.04952,2.34868,1.0489,-9.5593,1.05156,2.01581,1.05087,178.21782
1.1,1.09991,2.14189,1.1006,0.10169,1.10008,2.01581,1.10099,179.53795
1.15,1.1503,2.11019,1.1504,2.13E-14,1.15163,2.00791,1.1511,185.47855
1.2,1.2007,2.00151,1.2019,2.13E-14,1.20167,2.01581,1.20121,185.47855
1.25,1.24935,2.00151,1.2518,4.26E-14,1.25171,2.01581,1.25133,185.47855
1.3,1.298,2.00151,1.3001,2.13E-14,1.30023,2.00791,1.30144,185.47855
1.35,1.34839,2.00151,1.35,0.10169,1.35179,2.01581,1.35156,185.47855
1.4,1.39878,2.00302,1.3997,-4.5763,1.40168,1.62055,1.40167,148.51485
1.45,1.44917,2.00151,1.4513,1.42E-14,1.45322,1.60474,1.45178,148.51485
1.5,1.49957,2,1.5012,0.10169,1.50326,1.61265,1.5019,147.85479
1.55,1.54822,2,1.5505,38.644,1.54997,4.81423,1.55201,413.20132
1.6,1.59861,2.33208,1.5993,-4.7797,1.60137,4.41897,1.60061,351.15512
1.65,1.65074,2.44075,1.6505,-14.339,1.65247,3.21739,1.65072,285.80858
1.7,1.69939,2.14189,1.7006,-4.678,1.70236,2.81423,1.70084,260.06601
1.75,1.75152,2.03019,1.7489,-4.7797,1.75224,2.41897,1.75095,223.76238
1.8,1.79844,2.03019,1.7988,-4.7797,1.80062,2.02372,1.79954,186.79868
1.85,1.84883,2.00151,1.8488,2.13E-14,1.85065,2.01581,1.84966,186.13861
1.9,1.89922,2.00151,1.8987,0.20339,1.9022,2.01581,1.89977,185.47855
1.95,1.94961,2.00151,1.9501,2.13E-14,1.95073,2.01581,1.9514,186.13861
2,1.99826,2.00302,1.9985,0.10169,2.00077,2.02372,2.00152,185.47855
2.05,2.04692,2.00302,2.0483,0.10169,2.0508,2.01581,2.05011,185.47855
2.1,2.10078,2.00302,2.1013,0.10169,2.10387,2.01581,2.10175,185.47855
2.15,2.14944,2.00151,2.148,-4.678,2.15073,1.61265,2.15034,148.51485
2.2,2.19983,2.00151,2.2007,43.424,2.20214,5.2332,2.20197,398.0198
2.25,2.25195,2.62792,2.2492,-9.5593,2.25338,4.41897,2.25057,366.33663
