st,t,f,t,a,t,v,t,re
0.17,0.17744,0.45979,0.17331,4.91477,0.17872,0.68154,0.17855,311.5727
0.33,0.33425,0.47062,0.33425,0,0.33191,1.09533,0.33218,492.28487
0.5,0.50757,0.45928,0.50344,-1.61932,0.50638,0.95335,0.50657,432.04748
0.67,0.67675,0.44124,0.67263,0.02841,0.6766,0.81947,0.67682,381.15727
0.83,0.84182,0.43041,0.83769,-3.21023,0.84255,0.55172,0.83045,254.45104
1,1.00688,0.4299,1.00275,0,1.00851,0.27181,1.00069,127.74481
1.17,1.17194,0.43041,1.17607,-0.02841,1.17447,0.27586,1.17509,129.82196
1.33,1.337,0.43093,1.337,0.02841,1.33617,0.27181,1.33702,128.78338
1.5,1.50206,0.45,1.50619,3.26705,1.51064,0.54767,1.50311,256.52819
1.67,1.67538,0.50052,1.66713,4.91477,1.67234,1.24138,1.67751,537.9822
1.83,1.83631,0.53969,1.83631,0,1.83404,1.643,1.83945,659.49555
2,2.0055,0.53041,2.00138,-4.91477,2.00426,1.22515,2.00969,495.40059
2.17,2.17056,0.50103,2.17469,0,2.17872,0.82353,2.17578,351.03858
2.33,2.34388,0.45979,2.33975,0,2.33617,0.81947,2.33356,367.65579
2.5,2.50481,0.44124,2.50481,0,2.51489,0.81947,2.50381,384.273
2.67,2.66575,0.45928,2.674,0.02841,2.67234,0.81947,2.67405,384.273
2.83,2.83081,0.48969,2.83494,4.88636,2.8383,1.23327,2.83183,543.17507
3,3.00413,0.53041,3.00825,-0.02841,3.00851,1.63489,3.00208,675.07418
3.17,3.17744,0.5299,3.18157,-1.61932,3.17447,1.50913,3.17232,618.9911
3.33,3.33425,0.49021,3.33425,-3.21023,3.33617,1.09533,3.33426,474.62908
3.5,3.49931,0.46134,3.50344,0.05682,3.50213,0.81947,3.50035,373.88724
3.67,3.67263,0.44072,3.67263,0,3.68085,0.82353,3.67474,384.273
3.83,3.83769,0.45103,3.83769,1.61932,3.83404,0.94523,3.83253,452.81899
4,4.00688,0.4799,4.00275,1.67614,4,1.23327,4.00277,558.75371
4.17,4.17607,0.5299,4.17607,1.64773,4.17872,1.50913,4.17716,618.9911
4.33,4.337,0.53969,4.33287,0.02841,4.33191,1.63895,4.33495,661.5727
4.5,4.50206,0.52062,4.50206,-3.23864,4.51064,1.36308,4.50104,574.33234
4.67,4.67538,0.4701,4.67538,0,4.6766,1.09533,4.66713,492.28487
4.83,4.82806,0.45155,4.83631,-1.61932,4.8383,0.9574,4.82907,446.58754
5,5.00963,0.45979,5.00963,3.26705,5.01277,1.09128,4.99931,508.90208
5.17,5.17056,0.5,5.17469,3.26705,5.17447,1.643,5.17785,710.38576
5.33,5.3315,0.54021,5.33563,0.02841,5.33617,1.91886,5.33149,770.62315
5.5,5.50894,0.53041,5.50481,-3.21023,5.51064,1.643,5.50173,675.07418
5.67,5.67813,0.4799,5.674,-1.64773,5.6766,1.23327,5.67197,544.21365
5.83,5.83081,0.45155,5.83494,0,5.84255,1.09939,5.82976,510.97923
6,5.99587,0.43093,6,-1.59091,6,0.95335,6,452.81899
