t1,f,t2,a,t3,re
0.081822,0.12543,0.082557,11.966,0.082609,131.83
0.17324,0.3995,0.16951,-8.3702,0.1718,141.49
0.25146,0.59829,0.25095,-8.3116,0.24766,41.062
0.32869,0.52682,0.33096,-3.6475,0.32827,18.863
0.41835,0.32406,0.41839,1.2132,0.41948,32.952
0.49706,0.15412,0.49982,1.1403,0.49858,20.027
0.57971,0.053681,0.5794,1.1991,0.58136,6.2953
0.67188,0.030456,0.67216,3.5594,0.67077,21.997
0.7535,0.15009,0.75251,11.973,0.75571,116.73
0.83374,0.39522,0.83402,-7.2443,0.83765,130.42
0.92293,0.56697,0.92459,-8.4364,0.9232,41.687
1.0001,0.47426,1.0048,-1.1409,1.0033,5.7787
1.0806,0.29853,1.0826,-1.1477,1.0797,18.661
1.1686,0.1479,1.1698,1.1473,1.1704,21.46
1.2476,0.051321,1.2512,1.1402,1.2476,6.9227
1.3269,0.05127,1.3274,4.423,1.3299,28.272
1.416,0.17476,1.4186,10.007,1.4202,118.17
1.4961,0.40251,1.4986,-5.3289,1.5004,136.69
1.5778,0.52601,1.5778,-9.6122,1.5785,46.753
1.666,0.45067,1.6673,-2.449,1.6661,12.859
1.7448,0.30004,1.7471,-0.087543,1.7499,25.336
1.8274,0.1745,1.8268,1.1555,1.8292,20.073
1.9193,0.072124,1.9194,2.2658,1.921,-0.5164
1.9984,0.025741,2.0007,1.0744,2.0033,22.445
2.08,0.12414,2.0813,11.725,2.0858,102.26
2.1694,0.37119,2.1725,-2.4933,2.1762,144.98
2.2494,0.55068,2.2514,-9.6713,2.253,67.54
2.3267,0.4985,2.3316,-3.7572,2.334,6.2274
2.4183,0.29767,2.4189,-0.080684,2.4231,13.462
2.4989,0.14897,2.5022,-0.087989,2.5026,12.634
2.5779,0.050465,2.5782,1.0896,2.582,6.9672
2.6663,0.027242,2.6708,2.1999,2.6711,15.411
2.746,0.12372,2.7494,11.864,2.7521,101.28
2.8317,0.35146,2.8314,-2.4195,2.835,141.58
2.9226,0.47495,2.9233,-9.5986,2.9249,70.181
3.0017,0.42471,3.0034,-3.0267,3.004,9.2731
3.0841,0.24898,3.0814,-0.66511,3.0855,9.2512
3.1721,0.10028,3.1722,0.57692,3.1762,10.437
3.2493,0.0017702,3.2519,1.6884,3.2556,4.3668
3.3285,-0.027238,3.3313,0.43138,3.332,18.862
3.4173,0.049925,3.4194,11.937,3.4218,96.661
