st,t1,f,t2,v,t3,re
0.00094623,0.0059347,0.18367,0.003096,0.03681,-0.006192,11.853
0.050957,0.04451,0.17045,0.055728,2.0613,0.052632,467.79
0.099763,0.094955,0.26294,0.10836,2.0613,0.095975,444.19
0.16095,0.1454,0.37923,0.18885,2.0613,0.14861,406.41
0.24726,0.24332,0.75586,0.25077,2.4417,0.24768,366.3
0.29508,0.2908,0.86553,0.30031,2.4417,0.29412,333.26
0.34582,0.35015,0.79151,0.34365,1.6564,0.34365,217.53
0.39269,0.39169,0.77035,0.39319,1.6564,0.39319,210.47
0.44154,0.43917,0.85889,0.44272,2.0491,0.44272,255.37
0.50754,0.51335,0.85887,0.50464,1.2147,0.50464,158.55
0.55046,0.54303,0.8549,0.56037,1.2147,0.54799,160.93
0.60323,0.60534,0.79276,0.60372,1.2147,0.60062,172.77
0.65014,0.64392,0.79275,0.65325,0.40491,0.65325,59.409
0.69697,0.68843,0.79274,0.69969,-0.41718,0.70279,59.432
0.74784,0.73887,0.79273,0.74613,-0.40491,0.75851,59.459
0.79346,0.79525,0.73324,0.78947,-0.40491,0.79567,59.476
0.84743,0.8457,0.63015,0.8452,-0.78528,0.85139,130.37
0.89731,0.89318,0.52837,0.90402,-1.2025,0.89474,198.89
0.94509,0.94362,0.47153,0.94737,-1.2025,0.94427,196.55
0.9939,0.99407,0.3724,0.99381,-0.41718,0.99381,85.554
1.0427,1.0415,0.3486,1.0402,-0.79755,1.0464,154.08
1.0956,1.0979,0.32744,1.0929,-0.39264,1.096,83.24
1.1454,1.1513,0.31949,1.1455,0.04908,1.1393,10.032
1.1922,1.1958,0.31948,1.192,0.79755,1.1889,170.69
1.2543,1.2552,0.29832,1.2539,1.2147,1.2539,272.29
1.3032,1.3027,0.34853,1.3034,2.4417,1.3034,532.16
1.3529,1.3561,0.32472,1.3498,3.6564,1.3529,832.18
1.4019,1.4006,0.31943,1.4025,5.6687,1.4025,1340.1
1.4507,1.4481,0.40135,1.452,3.2147,1.452,763.72
1.4985,1.4985,0.45817,1.4985,2.0491,1.4985,470.83
1.5473,1.546,0.50177,1.5511,1.681,1.5449,345.66
1.5951,1.5935,0.61145,1.5975,1.681,1.5944,279.54
1.6481,1.6439,0.73302,1.6502,1.2147,1.6502,182.71
1.6938,1.6944,0.78719,1.6935,0.82209,1.6935,109.51
1.7467,1.7478,0.73563,1.7492,0.82209,1.743,116.62
1.7915,1.7893,0.7343,1.7926,0.82209,1.7926,119
1.8466,1.8338,0.73429,1.8607,-0.35583,1.8452,55.248
1.8972,1.8961,0.68934,1.8978,-0.40491,1.8978,69.446
1.9389,1.9436,0.68933,1.935,-0.77301,1.9381,135.61
2.0071,2.0059,0.65495,2.0093,0.03681,2.0062,8.442
2.0539,2.0504,0.65229,2.0588,-0.38037,2.0526,71.881
2.1079,2.1039,0.60735,2.1146,-0.40491,2.1053,74.268
2.1557,2.1513,0.49896,2.1703,-0.38037,2.1455,74.287
2.1994,2.1958,0.47252,2.2012,-0.40491,2.2012,83.762
2.2502,2.2522,0.39982,2.2508,-0.79755,2.2477,157.01
2.2971,2.2938,0.32448,2.3003,-0.40491,2.2972,86.17
2.3479,2.3472,0.31918,2.3498,-0.79755,2.3467,173.59
2.3997,2.4095,0.29801,2.3963,-0.80982,2.3932,183.07
2.4484,2.4599,0.298,2.4427,-0.39264,2.4427,98.05
2.4984,2.5074,0.28477,2.4923,0.06135,2.4954,8.3109
2.5413,2.5371,0.28873,2.5449,1.6687,2.5418,372.11
2.59,2.5905,0.2451,2.5913,2.0491,2.5882,466.62
2.6409,2.6409,0.2398,2.6409,3.227,2.6409,769.01
2.6908,2.6884,0.29794,2.6935,4.8344,2.6904,1064.3
2.7549,2.7507,0.42744,2.7554,3.2025,2.7585,643.87
2.8017,2.8012,0.53051,2.7988,2.0491,2.805,372.24
2.8485,2.8457,0.68909,2.8483,1.6687,2.8514,249.42
2.8972,2.8961,0.93621,2.8947,1.6564,2.9009,235.27
2.9471,2.9466,0.86351,2.9443,2.0491,2.9505,273.09
2.997,2.9941,0.8635,2.9969,1.6687,3,218.79
3.0457,3.0475,0.78948,3.0433,0.80982,3.0464,112.51
3.0937,3.089,0.78946,3.0929,0.82209,3.0991,112.53
3.1424,3.1424,0.7128,3.1424,0.44172,3.1424,60.585
3.1943,3.1958,0.71014,3.192,0.03681,3.195,8.6414
3.2462,3.2493,0.71013,3.2415,0.01227,3.2477,11.028
3.294,3.2908,0.71012,3.2972,0.04908,3.2941,11.05
3.3459,3.3412,0.60173,3.3529,-0.40491,3.3437,60.68
3.3969,3.3858,0.60172,3.4025,-0.40491,3.4025,65.432
3.4385,3.4332,0.55677,3.4458,-0.40491,3.4365,74.897
3.5066,3.5045,0.49861,3.5077,-0.40491,3.5077,74.931
3.5483,3.5519,0.46952,3.5449,-0.79755,3.548,138.73
3.5962,3.5935,0.44043,3.5944,-0.79755,3.6006,150.57
3.6449,3.6499,0.34658,3.6378,-0.79755,3.6471,157.67
3.6979,3.6944,0.32543,3.6997,-0.79755,3.6997,169.51
3.7467,3.7478,0.18929,3.7492,0.03681,3.743,8.9003
3.7966,3.7953,0.18003,3.805,0.03681,3.7895,8.9223
3.8413,3.8398,0.16944,3.8359,0.03681,3.8483,11.3124
3.8891,3.8902,0.25798,3.8916,0.06135,3.88545,11.3299
3.94,3.9377,0.24739,3.9412,0.82209,3.9412,202.69
3.9919,3.9881,0.24605,3.9969,1.6687,3.9907,372.8
4.0387,4.0356,0.36234,4.0433,4.4417,4.0372,935.02
4.0907,4.0831,0.42709,4.096,2.0613,4.0929,410.64
4.1405,4.1335,0.57906,4.1486,1.6564,4.1393,294.91
4.1862,4.184,0.80371,4.1858,1.6564,4.1889,231.16
4.2361,4.2315,0.80502,4.2415,0.84663,4.2353,127.24
4.2992,4.2938,0.80765,4.3003,0.82209,4.3034,122.55
4.354,4.3531,0.80499,4.3591,0.42945,4.3498,58.793
4.402,4.3947,0.79176,4.4118,0.42945,4.3994,58.817
4.4435,4.4421,0.79175,4.4427,0.42945,4.4458,63.563
4.4944,4.4955,0.71244,4.4985,-0.79755,4.4892,113.19
4.5463,4.549,0.70978,4.548,-0.79755,4.5418,110.85
4.5911,4.5875,0.63709,4.5913,-1.1779,4.5944,174.66
4.646,4.6439,0.57231,4.6471,-0.79755,4.6471,110.9
