t1,f,t2,v,t3,re
0.0027265,0.49969,0.0001675,1.8392,0,75.243
0.0067011,0.50691,0.0041876,1.5617,0.0043551,63.107
0.010676,0.51765,0.0085427,1.3718,0.0080402,56.311
0.014688,0.54524,0.012563,2.6418,0.012395,105.34
0.018704,0.59399,0.015913,3.5322,0.016415,137.86
0.022718,0.63171,0.020603,3.4445,0.020436,130.58
0.026731,0.66474,0.024288,3.2546,0.024121,116.99
0.030742,0.6862,0.027973,2.948,0.027471,101.46
0.034753,0.70829,0.031993,3.2107,0.031826,105.34
0.038831,0.72624,0.036348,3.4587,0.036348,110.19
0.043629,0.73945,0.040369,3.444,0.039866,108.74
0.046777,0.71645,0.044389,3.0206,0.043886,95.146
0.050784,0.71337,0.048409,2.0132,0.047906,62.621
0.054787,0.68966,0.052094,1.327,0.051926,42.961
0.058885,0.68237,0.055779,1.6334,0.055946,53.398
0.062798,0.66418,0.060302,1.5603,0.060302,51.942
0.0668,0.63694,0.064154,0.91791,0.064657,31.553
0.070804,0.61316,0.067839,1.2244,0.068007,43.689
0.074808,0.5953,0.071859,1.5309,0.072362,58.252
0.078812,0.57281,0.075879,1.3556,0.076047,52.913
0.082815,0.54718,0.080067,1.0051,0.080402,41.262
0.086821,0.54372,0.08392,1.3992,0.084087,59.223
0.090835,0.54045,0.08861,1.7932,0.088107,74.272
0.09496,0.54158,0.09263,1.545,0.092127,66.019
0.09884,0.52318,0.09665,1.793,0.096482,75.243
0.10284,0.50312,0.10034,1.2528,0.099832,52.913
0.10693,0.4993,0.10469,0.91692,0.10385,39.806
0.11086,0.50477,0.10838,1.8803,0.10888,79.126
0.1159,0.5264,0.11206,2.5372,0.11189,103.88
0.12042,0.53566,0.11608,2.5517,0.11625,100.97
0.12443,0.57538,0.12077,2.537,0.12027,99.272
0.12691,0.60583,0.12446,3.0916,0.12429,116.02
0.13092,0.65331,0.12848,4.128,0.12864,143.69
0.1351,0.67435,0.13233,4.106,0.13233,140.05
0.13894,0.70372,0.13618,3.1643,0.13635,101.94
0.14295,0.69841,0.13987,2.8285,0.14003,90.777
0.14696,0.69872,0.14389,2.8284,0.14405,93.204
0.15102,0.70644,0.14824,2.9305,0.14807,93.689
0.15497,0.69439,0.15159,3.2953,0.15243,107.28
0.15898,0.69648,0.15628,2.6383,0.15645,86.408
0.16364,0.68562,0.1603,1.9375,0.16013,63.592
0.16689,0.63018,0.16399,1.587,0.16382,53.398
0.17086,0.60717,0.16868,1.0468,0.16884,37.864
0.17486,0.58325,0.17203,0.85689,0.17253,32.039
0.1789,0.56597,0.17605,1.105,0.17588,42.233
0.18287,0.54586,0.1804,1.1049,0.17956,44.66
0.18687,0.52908,0.18409,1.1048,0.18459,46.602
0.19088,0.53458,0.18811,1.6886,0.18827,69.417
0.19489,0.52476,0.19179,1.5863,0.19196,66.019
0.19893,0.51007,0.19615,1.0169,0.19531,44.175
0.2029,0.50899,0.20017,1.1044,0.20034,47.087
0.207,0.51394,0.20419,1.3233,0.20436,58.252
0.21099,0.50797,0.20888,1.6589,0.20804,69.903
0.21492,0.51404,0.21256,1.834,0.21206,76.699
0.21893,0.53358,0.21692,2.0967,0.21541,87.379
0.22294,0.54705,0.21993,2.1696,0.2201,89.32
0.22696,0.57939,0.22395,2.2279,0.22446,86.408
0.23097,0.61258,0.22797,3.1621,0.22814,118.93
0.23498,0.63096,0.23199,3.089,0.23283,110.68
0.23899,0.65466,0.23601,3.6874,0.23635,127.67
0.243,0.67337,0.2407,4.0669,0.2402,133.98
0.24702,0.70697,0.24439,3.4537,0.24422,112.62
0.25103,0.73184,0.24841,4.0959,0.24824,133.5
0.25504,0.73205,0.25243,3.7892,0.25226,120.87
0.25904,0.71978,0.25645,2.8256,0.25595,89.32
0.26313,0.71668,0.26047,1.8766,0.25997,60.194
0.26675,0.67868,0.26415,1.2488,0.26432,39.806
0.26979,0.65359,0.26817,0.92754,0.26834,31.068
0.27321,0.62617,0.27219,0.98584,0.27236,35.437
0.27621,0.59542,0.27621,1.2777,0.27605,49.515
0.28016,0.59471,0.28023,1.2338,0.28007,48.544
0.2839,0.55796,0.28392,1.2191,0.28476,50.485
0.28811,0.55366,0.28861,1.219,0.28878,51.942
