st,t1,f,t2,v,t3,re
0.000204775,0.00028397,0.6037,0.000010996,0.25166,0.00031936,4.8227
0.004803,0.006005,0.6175,0.00456,0.17838,0.0038439,3.7549
0.0082141,0.0088655,0.62701,0.0077317,0.41569,0.0080451,2.6284
0.011877,0.011726,0.63711,0.011846,0.97852,0.012058,6.1005
0.0154,0.014587,0.648,0.015819,1.4262,0.015795,14.154
0.020356,0.020308,0.71825,0.020504,1.5533,0.020256,19.238
0.02384,0.023168,0.76109,0.02376,1.2961,0.024592,19.744
0.027379,0.026004,0.79281,0.027974,1.5402,0.02816,15.171
0.032282,0.03175,0.89713,0.032652,1.5012,0.032445,17.797
0.035475,0.03461,0.92844,0.035694,0.8103,0.036122,16.787
0.040216,0.040331,0.94711,0.040052,0.81591,0.040265,8.8903
0.044164,0.043192,0.93854,0.044352,0.77011,0.044949,8.6894
0.047755,0.047483,0.947295,0.047639,0.51907,0.048144,8.3468
0.051918,0.051773,0.95699,0.051801,0.051589,0.052179,5.5527
0.055264,0.054634,0.94034,0.055288,-0.30085,0.05587,2.7491
0.059354,0.057494,0.92413,0.05966,-0.52876,0.060908,3.1296
0.064344,0.064646,0.85533,0.064148,-0.64736,0.064237,5.9017
0.067777,0.067506,0.82586,0.067881,-0.65878,0.067944,7.5985
0.072656,0.073227,0.73833,0.072034,-0.50249,0.072708,7.9338
0.076324,0.076088,0.70124,0.076492,-0.34452,0.076393,6.5521
0.079553,0.078948,0.66414,0.079725,-0.27344,0.079985,4.743
0.08377,0.083239,0.61721,0.083553,-0.099502,0.084519,2.7402
0.088472,0.08896,0.58005,0.088363,-0.0076576,0.088093,1.4753
0.0919,0.09182,0.58353,0.092284,0.15659,0.091597,2.35
0.095653,0.094681,0.59116,0.096061,0.15256,0.096217,2.3241
0.099265,0.097541,0.59618,0.099483,-0.060563,0.10077,1.2136
0.10291,0.1004,0.60168,0.10392,0.099586,0.1044,0.7871
0.10778,0.10755,0.6034,0.10771,0.73156,0.10809,3.0789
0.11187,0.11184,0.63288,0.11187,1.4678,0.1119,10.604
0.11615,0.11583,0.68425,0.11614,1.5716,0.11647,20.351
0.12007,0.11997,0.76412,0.12016,1.4281,0.12007,20.206
0.12421,0.12408,0.86414,0.12417,1.5116,0.12439,16.678
0.12819,0.12803,0.95085,0.12808,1.3588,0.12846,16.819
0.13168,0.13187,0.98176,0.13176,1.1249,0.13142,14.559
0.13691,0.13759,0.97884,0.13665,1.0598,0.1365,12.341
0.14004,0.14045,0.95747,0.13943,0.73163,0.14024,11.54
0.14366,0.14331,0.96776,0.14379,0.46999,0.14388,7.7786
0.14771,0.1476,0.93799,0.14778,0.21336,0.14774,4.9501
0.15183,0.15189,0.89226,0.15164,-0.12319,0.15197,2.6393
0.15567,0.15475,0.86131,0.15587,-0.45337,0.1564,1.0924
0.16024,0.16047,0.82236,0.1601,-0.49489,0.16014,4.8107
0.16374,0.16333,0.79576,0.16389,-0.42971,0.16401,5.7759
0.16774,0.16762,0.72518,0.16814,-0.41791,0.16745,5.1724
0.17175,0.17191,0.67196,0.17177,-0.34537,0.17156,5.3596
0.17617,0.17621,0.62621,0.17613,-0.28084,0.17616,4.7003
0.17947,0.17907,0.60396,0.17977,-0.032252,0.17958,3.7784
0.18429,0.18479,0.58898,0.18407,0.24196,0.18401,2.976
0.18888,0.18908,0.58267,0.18879,0.31492,0.18877,3.9655
0.19204,0.19194,0.57758,0.19203,0.26368,0.19215,4.834
0.19561,0.1948,0.58828,0.19583,0.18568,0.1962,3.9384
0.20072,0.20052,0.5955,0.20088,0.25327,0.20077,2.9294
0.20376,0.20338,0.59577,0.20365,0.56906,0.20426,3.9465
0.20796,0.20767,0.62246,0.20793,1.1433,0.20827,8.3896
0.21189,0.21196,0.66518,0.21185,1.555,0.21186,16.08
0.21665,0.21677,0.75558,0.21668,1.6319,0.2165,20.374
0.22059,0.22054,0.82572,0.22067,1.4864,0.22057,19.531
0.22372,0.2234,0.85488,0.22384,1.3333,0.22393,16.945
0.22792,0.2276,0.88303,0.22745,1.2509,0.22872,14.596
0.23126,0.23056,0.88724,0.23093,1.1746,0.23228,13.563
0.23603,0.23628,0.91171,0.235,1.042,0.2368,12.278
0.23989,0.23914,0.92677,0.23984,0.64139,0.24068,11.23
0.24363,0.24343,0.9352,0.24353,0.24206,0.24394,3.7961
0.24779,0.24772,0.89538,0.24724,0.039744,0.24841,1.3362
0.25233,0.25201,0.85562,0.25237,-0.23301,0.25262,1.6227
0.25615,0.2563,0.820415,0.25597,-0.42172,0.25619,2.7204
0.2606,0.26059,0.77535,0.26055,-0.48714,0.26066,5.0387
0.26381,0.26345,0.74278,0.2639,-0.40796,0.26407,6.2069
0.26784,0.26774,0.69032,0.26793,-0.30832,0.26786,5.4447
0.27208,0.27203,0.62892,0.27249,-0.17888,0.27172,3.6783
0.27608,0.27632,0.587275,0.27623,-0.000226,0.27568,2.55
0.28045,0.28061,0.56381,0.28004,0.26108,0.28069,2.4419
0.28444,0.284905,0.562555,0.28415,0.4278,0.28426,3.7516
0.28809,0.28777,0.56089,0.28778,0.41972,0.28872,6.4968
0.29283,0.29349,0.56385,0.29226,0.33831,0.29274,6.3614
0.29634,0.29635,0.565105,0.29605,0.26129,0.29663,4.9777
0.30048,0.30064,0.571,0.3002,0.25712,0.3006,3.8
