st,t1,f,t2,v,t3,re
0.026050,0.024986,1.1303,0.025772,2.2129,0.027392,275.27
0.059914,0.061632,1.1404,0.059094,1.4385,0.059017,170.9
0.086064,0.086619,1.1006,0.085834,1.1139,0.08574,126.7
0.11169,0.10994,1.0595,0.11262,0.96438,0.11252,109.05
0.14453,0.14325,1.011,0.14439,0.63991,0.14596,73.71
0.17152,0.17157,0.9812,0.17113,0.31535,0.17187,38.357
0.19693,0.19656,0.9495,0.19801,0.4658,0.19622,63.179
0.23181,0.23237,0.93026,0.23159,0.63511,0.23146,82.711
0.25724,0.25652,0.96018,0.25683,0.95428,0.25838,132.32
0.28340,0.28318,1.071,0.28234,2.2172,0.28469,292.54
0.31767,0.31816,1.1507,0.31588,2.2178,0.31898,259.86
0.34285,0.34398,1.1807,0.3424,1.112,0.34217,127.15
0.36847,0.36813,1.0898,0.36751,0.95613,0.36978,109.5
0.40218,0.40311,1.0488,0.40268,0.80671,0.40076,95.4
0.42892,0.4281,1.0177,0.42946,0.61966,0.42921,76.866
0.45318,0.45308,0.98913,0.45378,0.63881,0.45268,79.562
0.48915,0.48973,0.95932,0.48816,0.63314,0.48956,84.937
0.51341,0.51388,0.93011,0.51164,0.63353,0.51471,86.752
0.53850,0.53887,0.91085,0.53679,0.64645,0.53985,88.566
0.57386,0.57301,0.98809,0.57483,1.7596,0.57374,263.85
0.59994,0.59967,1.1201,0.59774,2.6975,0.60241,352.39
0.62546,0.62465,1.1998,0.62607,2.0667,0.62565,242.7
0.65880,0.65963,1.1488,0.65776,1.4485,0.65902,170.19
0.68440,0.68295,1.0293,0.68449,1.0989,0.68577,140.15
0.71003,0.70961,0.95844,0.71128,0.94935,0.7092,122.49
0.74516,0.74459,0.92738,0.74649,0.93744,0.7444,126.1
0.77054,0.77041,0.91995,0.77165,0.95036,0.76955,131.45
0.79619,0.79622,0.91004,0.79596,0.95077,0.79638,138.58
0.82993,0.82954,0.92005,0.82866,0.93881,0.83158,138.64
0.85564,0.85453,0.9288,0.85558,1.2705,0.85682,190.01
0.88317,0.88284,1.011,0.88272,2.3772,0.88395,336.96
0.91696,0.91699,1.12,0.91639,2.8403,0.91749,348.53
0.94217,0.94114,1.1704,0.94299,2.0282,0.94238,227.33
0.96716,0.96946,1.1182,0.9663,1.4286,0.96572,172.51
1.0011,1.0019,1.0293,1.0023,1.2667,0.99924,170.8
1.0263,1.0278,0.95772,1.0266,1.2046,1.0244,163.76
1.0533,1.0536,0.92042,1.0517,1.155,1.0545,163.81
1.0881,1.0877,0.89683,1.0869,1.0306,1.0897,151.49
1.1140,1.1144,0.89002,1.1146,0.95608,1.1131,140.91
1.1409,1.1402,0.88944,1.1407,1.269,1.1417,186.98
1.1742,1.1743,0.95921,1.1744,2.0446,1.1738,302.08
1.1994,1.1993,1.0788,1.1997,2.695,1.1991,364.07
1.2266,1.226,1.1796,1.2265,2.4329,1.2274,279.16
1.2611,1.261,1.1585,1.2616,1.8835,1.2608,222.59
1.2856,1.2843,1.0702,1.2849,1.5339,1.2876,201.39
1.3126,1.3134,0.98932,1.3117,1.2719,1.3126,171.35
1.3474,1.3476,0.93834,1.3469,1.1162,1.3478,157.25
1.3720,1.3726,0.90601,1.3704,1.1228,1.373,167.92
1.3976,1.3992,0.88738,1.3972,1.0983,1.3964,171.5
1.4333,1.4325,0.87624,1.4324,1.1239,1.435,168.03
1.4581,1.4575,0.9186,1.4584,1.2493,1.4585,189.31
1.4840,1.4825,1.0083,1.4847,2.2122,1.4847,315.02
1.5184,1.5175,1.139,1.5184,2.9878,1.5192,385.87
