st,t,f,t,a,t,v,t,re
0.333333333,0.32058,0.42081,0.32848,2.40838,0.33433,1.20643,0.33554,579.98197
0.5,0.49481,0.55016,0.4948,1.20419,0.50715,1.5044,0.50555,593.50766
0.666666667,0.67732,0.67022,0.66944,-4.78185,0.67452,1.20407,0.67005,409.55816
0.833333333,0.83768,0.71057,0.83576,-4.78185,0.83242,0.40069,0.83391,133.09288
1,1.00491,0.64045,1.00208,0.01745,1.0038,0.00757,1.00291,1.08206
1.166666667,1.17171,0.54023,1.17672,-4.78185,1.17515,-0.39532,1.17809,163.39044
1.333333333,1.33038,0.45987,1.33056,3.63002,1.32194,-0.49296,1.33605,233.18305
1.5,1.50631,0.41025,1.50936,1.18674,1.51178,-0.08998,1.50884,50.3156
1.666666667,1.66582,0.38975,1.67152,0.0349,1.67577,0.00285,1.67842,1.62308
1.833333333,1.83391,0.38143,1.83784,0.01745,1.83537,0.00533,1.8359,1.08206
2,2.00211,0.38111,2.00416,1.22164,1.99937,0.10061,2.00201,51.39766
2.166666667,2.18334,0.40961,2.17048,4.7644,2.17263,0.60859,2.17358,291.07304
2.333333333,2.33991,0.47972,2.33264,4.78185,2.3297,1.40472,2.33741,610.82056
2.5,2.50126,0.5905,2.50728,-3.56021,2.50211,1.50244,2.50707,573.48963
2.666666667,2.67727,0.65998,2.67775,-3.57766,2.67725,0.90419,2.67515,307.84491
2.833333333,2.83431,0.65037,2.8316,-3.56021,2.83138,0.3035,2.83537,105.50045
3,3.00981,0.57001,3.00208,0.01745,3.00295,0.00562,3.00457,1.08206
3.166666667,3.16849,0.49029,3.1684,-3.56021,3.16611,-0.29715,3.17539,133.6339
3.333333333,3.32744,0.4301,3.3264,2.40838,3.32551,-0.39235,3.32914,193.14698
3.5,3.50365,0.40064,3.49688,1.20419,3.49833,-0.09683,3.50221,49.77457
3.666666667,3.67157,0.38015,3.67152,0.01745,3.67074,0.00578,3.67593,0.54103
3.833333333,3.82703,0.37054,3.82952,0.01745,3.83875,0.01071,3.83755,0.54103
4,3.99944,0.37054,4,2.39092,3.99874,0.20122,3.99988,102.79531
4.166666667,4.16386,0.40032,4.16632,1.22164,4.16738,0.50651,4.17082,251.578
4.333333333,4.3287,0.45987,4.32432,6.00349,4.32403,1.1024,4.33423,510.18936
4.5,4.50238,0.55016,4.4948,-1.20419,4.49707,1.50293,4.50074,617.85392
4.666666667,4.68026,0.64045,4.66944,-4.81675,4.66822,1.00724,4.67722,367.35798
4.833333333,4.83585,0.64013,4.82744,-3.57766,4.82635,0.30643,4.83288,104.95942
5,5.00322,0.58026,4.99376,0.01745,5.00211,0.00611,5.00622,1.08206
5.166666667,5.17017,0.49029,5.1684,-1.18674,5.1699,-0.09153,5.1723,44.90532
5.333333333,5.32912,0.4301,5.33056,0,5.32088,-0.19894,5.33428,96.844
5.5,5.49678,0.39039,5.50104,0,5.50147,-0.1989,5.50836,100.09017
5.666666667,5.66891,0.37022,5.67152,1.20419,5.66549,-0.09385,5.67379,51.39766
5.833333333,5.83291,0.37022,5.83368,0,5.83789,0.00387,5.83506,0
6,6.00112,0.37022,6,0,6.0017,0.00879,6.00083,0.54103
6.166666667,6.17774,0.37022,6.17464,2.40838,6.1701,0.20175,6.17559,102.25428
6.333333333,6.33796,0.40064,6.33264,3.61257,6.33495,0.70484,6.3389,345.71686
6.5,6.50267,0.45091,6.49064,3.61257,6.49161,1.30317,6.50228,599.45897
6.666666667,6.67634,0.54023,6.66944,-1.18674,6.66843,1.5059,6.67228,612.98467
6.833333333,6.83726,0.6206,6.82744,-2.39092,6.8274,1.20802,6.83262,426.87106
7,7.00995,0.64045,6.99792,-3.56021,6.99854,0.70501,7.00547,251.578
7.166666667,7.16498,0.60011,7.1684,-2.40838,7.15708,0.20199,7.17003,76.82597
7.333333333,7.32787,0.5207,7.3264,-1.18674,7.33285,-0.09589,7.32728,43.82326
7.5,7.49944,0.46051,7.49688,0.01745,7.49644,-0.19597,7.50168,93.05681
7.666666667,7.67956,0.40993,7.67152,1.18674,7.66885,-0.09581,7.66714,49.23354
7.833333333,7.84314,0.37983,7.82952,0.0349,7.82865,0.00435,7.83259,2.16411
8,7.9944,0.37086,7.99584,0.01745,7.99245,0.00684,7.99835,1.08206
8.166666667,8.17088,0.36062,8.17464,0.01745,8.17305,0.00688,8.17655,1.62308
8.333333333,8.33081,0.37022,8.33264,0.01745,8.33686,0.0118,8.33818,1.62308
8.5,8.49104,0.40096,8.49896,4.78185,8.50148,0.40501,8.49704,201.2624
8.666666667,8.66428,0.46019,8.66528,3.63002,8.67095,1.10834,8.67309,489.6303
8.833333333,8.84623,0.54023,8.83576,1.22164,8.83978,1.50399,8.84386,613.5257
9,8.99874,0.62028,8.99792,-5.96859,8.99854,1.10354,8.99991,406.31199
9.166666667,9.16707,0.62924,9.17256,-3.56021,9.16907,0.30993,9.17189,106.58251
9.333333333,9.34315,0.59082,9.33888,0,9.34063,0.00961,9.34522,1.62308
9.5,9.50196,0.52038,9.49688,0.01745,9.50443,0.00965,9.49856,1.62308
9.666666667,9.6692,0.45091,9.66736,-1.16928,9.67221,-0.09288,9.66464,46.5284
9.833333333,9.83671,0.4016,9.84615,-0.0349,9.84,-0.19296,9.84735,99.54914
