st,t,f,t,ao,t,v,t,re,t,am
0.17,0.17134,0.6348,0.17064,4.50535,0.16982,1.13735,0.17092,211.70603,0.171498,0.815348
0.33,0.33339,0.67357,0.3318,-3.76118,0.33104,1.20031,0.33044,194.76708,0.330918,0.311751
0.5,0.50221,0.56608,0.50244,-2.99538,0.50114,0.63188,0.49946,137.20242,0.502415,-0.191847
0.67,0.66998,0.59515,0.66928,3.79191,0.66994,0.69154,0.67227,160.36665,0.671498,-0.671463
0.83,0.83251,0.70837,0.82855,8.30912,0.83016,1.70326,0.8299,253.8445,0.830918,1.247
1,1.00176,0.66696,0.99919,-7.53201,1.00086,1.76293,1.00081,255.91512,1.00242,-0.383693
1.17,1.1744,0.55419,1.16983,-2.22618,1.17072,0.94325,1.17173,180.12115,1.17391,-0.479616
1.33,1.33077,0.60793,1.33288,6.85498,1.33035,1.32688,1.32935,251.72401,1.33092,-0.407674
1.5,1.50283,0.70529,1.50163,2.26832,1.50171,2.08737,1.50027,293.89879,1.5,1.1271
1.67,1.66998,0.637,1.67037,-5.25741,1.66832,1.83629,1.66929,271.49038,1.6715,-0.335731
1.83,1.83105,0.52335,1.83153,-2.9863,1.83071,1.13892,1.83071,211.58254,1.83092,-0.59952
2,2.00292,0.59119,2.00027,9.87029,2.00189,1.70768,2.00163,311.3094,2,-0.167866
2.17,2.173,0.67974,2.16901,-2.9601,2.17118,2.27974,2.16875,314.16155,2.1715,0.983213
2.33,2.33412,0.57225,2.33017,-5.25291,2.32977,1.57245,2.33017,244.35787,2.33092,-0.28777
2.5,2.50296,0.46872,2.50081,-2.2171,2.50171,0.94451,2.50109,196.94932,2.5,-1.19904
2.67,2.67322,0.5859,2.66956,9.87486,2.67105,1.57938,2.6701,297.97841,2.6715,-0.0479616
2.83,2.8357,0.69031,2.83072,-2.97948,2.83275,2.14813,2.83152,293.79974,2.83092,1.34293
3,3.0026,0.5837,2.99946,-4.4837,3.0009,1.51688,3.00244,237.01619,3.00242,-0.28777
3.17,3.17141,0.47533,3.1701,-4.45864,3.17082,0.76663,3.16956,166.69125,3.1715,-1.07914
