t1,f,t2,v,t3,re
0.028771,0.64076,0.028178,1.8659,0.030496,568.02
0.070783,0.64191,0.069842,2.802,0.072427,872.24
0.099614,0.70145,0.10027,3.0819,0.10102,948.48
0.12851,0.78187,0.1307,3.3478,0.12961,880.42
0.17258,0.83102,0.16895,3.028,0.17058,780.2
0.20215,0.82013,0.19971,2.2614,0.19822,588.71
0.23158,0.7696,0.23035,1.8995,0.22872,501.67
0.27156,0.73108,0.27048,1.6634,0.27065,460.33
0.30011,0.70193,0.30108,1.3991,0.30305,392.3
0.33246,0.66966,0.32985,0.89758,0.33164,259.68
0.37063,0.66141,0.36994,0.77312,0.37166,229.7
0.40305,0.64896,0.40018,1.653,0.40216,511.02
0.42991,0.68972,0.42927,3.1329,0.4317,978.41
0.47027,0.77121,0.46817,3.7619,0.46982,1073.7
0.50101,0.83076,0.50075,3.2884,0.50318,857.62
0.53159,0.84022,0.52953,2.745,0.52986,732.57
0.57061,0.80067,0.57165,2.2718,0.56989,615.26
0.59816,0.76004,0.60039,1.84,0.60038,509.23
0.62862,0.73089,0.62908,1.5897,0.62897,452.56
0.66863,0.70177,0.66726,1.507,0.6709,452.99
0.69532,0.69035,0.69976,1.2567,0.69949,392.52
0.72775,0.68104,0.72821,1.7599,0.72999,556.12
0.76976,0.68114,0.76596,3.0167,0.76811,962.83
0.79856,0.72921,0.7963,3.5757,0.7986,1115
0.82742,0.80023,0.82682,3.5766,0.8291,990.03
0.86956,0.84103,0.86709,2.894,0.86912,770.18
0.89912,0.83014,0.89784,2.1413,0.89962,565.43
0.92856,0.78065,0.92844,1.905,0.9263,516.33
0.96665,0.75048,0.96666,1.6549,0.97014,467.41
0.99906,0.73282,0.99917,1.4046,0.99873,406.94
1.0276,0.70158,1.0278,1.4054,1.0273,411.03
1.0695,0.68081,1.0678,1.6298,1.0693,510.19
1.0963,0.68088,1.098,2.3981,1.0988,764.91
1.1288,0.71017,1.1264,3.2361,1.1302,1061.4
1.171,0.77184,1.1663,3.7535,1.1703,1099.8
1.1998,0.81782,1.1986,3.9497,1.1989,1069.7
1.2294,0.81998,1.2275,3.1691,1.2274,849.76
1.2685,0.78981,1.2678,2.5145,1.2694,702.09
1.297,0.7617,1.2984,2.2362,1.3018,637.86
1.3313,0.73048,1.329,1.8743,1.3304,543.21
1.3684,0.70031,1.3672,1.6242,1.3704,509.44
1.3999,0.68995,1.3996,1.646,1.4009,521.14
1.4286,0.70045,1.43,2.1422,1.4333,673.37
1.4707,0.72142,1.4678,3.2317,1.4695,1023.1
1.5014,0.78097,1.499,3.993,1.5,1247.5
1.5321,0.82905,1.5287,3.7496,1.5314,1038.9
1.5704,0.86931,1.5689,3.2763,1.5724,891.23
1.6009,0.84904,1.5996,2.7609,1.601,754.81
1.6295,0.82093,1.6321,2.3711,1.6334,664
1.6714,0.78973,1.6705,1.7443,1.6734,508.71
1.6999,0.76997,1.701,1.6196,1.702,493.81
1.7323,0.74187,1.7293,2.4994,1.7325,782.72
