st,t,f,t,ao,t,v,t,re,t,am
0.08,0.08254,1.13013,0.0811,8.88291,0.08315,1.46255,0.08446,118.37521,0.0804438,-0.821468
0.17,0.17178,1.20042,0.17096,4.54229,0.17068,2.01708,0.17109,145.27325,0.171983,8.97043
0.25,0.25209,1.24003,0.24986,0.0699,0.25383,2.19317,0.25338,159.2923,0.249653,-2.0701
0.33,0.33017,1.17978,0.33096,-8.74456,0.3326,1.83574,0.33351,137.3264,0.330097,-1.93866
0.42,0.42164,1.11032,0.41863,0.07267,0.42013,1.46255,0.42014,118.39111,0.421637,-1.47864
0.5,0.50418,1.07015,0.50192,0.13983,0.50328,1.46255,0.5046,118.3951,0.50208,-0.0328587
0.58,0.58226,1.07043,0.58082,0.07534,0.58206,1.46518,0.58473,118.3989,0.582524,-1.21577
0.67,0.66258,1.07015,0.66192,-4.39701,0.66083,1.28121,0.6627,104.57683,0.662968,-1.21577
0.75,0.75404,1.07043,0.75397,0.07819,0.75274,1.09987,0.75582,89.24033,0.751734,-0.821468
0.83,0.82989,1.07043,0.82849,0.14521,0.83151,1.09987,0.83162,89.24392,0.832178,-0.821468
0.92,0.91244,1.12985,0.91178,17.58079,0.91028,1.83574,0.91175,148.52802,0.909847,-0.821468
1,1.00167,1.21018,1.00384,8.8323,1.00219,2.92641,1.00487,211.22182,1.00139,10.6791
1.08,1.08422,1.26987,1.08493,-13.14005,1.08096,2.74244,1.08284,189.824,1.08183,-4.76451
1.17,1.16453,1.24003,1.16603,-4.38872,1.16411,2.01445,1.16297,145.13082,1.16227,-2.0701
1.25,1.2493,1.15049,1.24712,-4.32159,1.24726,1.64389,1.24743,128.27876,1.25104,-2.79299
1.33,1.32962,1.1,1.32822,0.08764,1.32823,1.46255,1.32972,118.43417,1.33148,-0.821468
1.42,1.40993,1.07015,1.41151,0.08901,1.40919,1.45992,1.40985,118.43797,1.41193,-1.21577
1.5,1.49247,1.07015,1.4926,0.09034,1.49234,1.45992,1.49215,118.44186,1.4896,-1.21577
1.58,1.57724,1.07043,1.57808,-4.31615,1.57768,1.28384,1.58094,104.62031,1.58114,-1.21577
1.67,1.65756,1.07015,1.65918,0.09308,1.66083,1.1025,1.65891,89.28309,1.66158,-0.821468
1.75,1.7401,1.07043,1.74027,0.09441,1.74398,1.1025,1.73904,89.47628,1.74202,-0.821468
1.83,1.82934,1.07015,1.82795,0.09585,1.82932,1.1025,1.82783,89.48048,1.83079,-0.821468
1.92,1.91188,1.07043,1.91123,0.16301,1.91247,1.1025,1.91012,89.29499,1.91123,-0.887185
2,1.98773,1.14017,1.98795,26.41428,1.99125,2.19317,1.98809,178.31383,1.99168,-0.821468
2.08,2.0792,1.23026,2.08,-8.71579,2.08096,2.92904,2.08121,203.31824,2.08044,19.5509
2.17,2.16174,1.26039,2.1611,-4.37235,2.15974,2.37188,2.16134,165.44325,2.16089,-2.39869
2.25,2.23982,1.18006,2.23781,-8.71319,2.2407,1.83311,2.23931,143.47724,2.24133,-5.35597
2.33,2.32013,1.1,2.32329,0.104,2.32385,1.45992,2.3216,118.67053,2.319,-0.821468
2.42,2.4116,1.07015,2.41315,0.10548,2.41138,1.46518,2.41256,118.29605,2.41054,-1.21577
2.5,2.49191,1.07015,2.48986,-4.43273,2.49234,1.28384,2.49053,104.66338,2.49098,-1.21577
2.58,2.57223,1.07015,2.57096,0.10807,2.5733,1.1025,2.57066,89.32626,2.56865,-0.821468
2.67,2.66146,1.07015,2.66082,0.17534,2.66083,1.1025,2.65945,89.33047,2.66019,-0.821468
2.75,2.74177,1.07015,2.73973,0.17664,2.74179,1.1025,2.74174,89.14497,2.74064,-0.821468
2.83,2.81985,1.07043,2.82082,0.11218,2.82276,1.1025,2.81971,89.33805,2.82108,-0.821468
2.92,2.90909,1.15997,2.9063,26.36359,2.91028,2.19317,2.9085,178.35741,2.90985,-0.821468
3,2.9894,1.21046,2.98959,-13.04293,2.99125,2.74507,2.98863,190.29302,2.99029,16.4622
3.08,3.07195,1.23026,3.07068,-8.6995,3.07002,1.83311,3.06876,132.15288,3.07074,-0.690033
3.17,3.15003,1.14017,3.15178,0.11763,3.15098,1.46255,3.15106,114.35374,3.1484,-1.47864
3.25,3.23926,1.0802,3.23945,0.11907,3.23851,1.46518,3.23985,118.52461,3.23994,-0.0985761
3.33,3.32181,1.07015,3.32055,-4.2217,3.32166,1.28121,3.31998,104.70265,3.32039,-1.21577
3.42,3.40212,1.07015,3.40164,0.12174,3.40044,1.1025,3.40011,89.17614,3.40083,-0.821468
3.5,3.48912,1.07015,3.48712,0.12314,3.48796,1.10512,3.4889,89.36974,3.4896,-0.821468
3.58,3.57167,1.12985,3.57041,13.21662,3.57112,1.64389,3.57336,133.50253,3.57004,-0.821468
3.67,3.64975,1.21018,3.64932,4.5995,3.64989,2.37451,3.64916,172.52127,3.65049,6.40745
3.75,3.74345,1.27015,3.74356,-8.68843,3.74179,2.18528,3.74012,152.07103,3.73925,-2.92442
3.83,3.82153,1.23054,3.82247,-4.27924,3.82057,1.64389,3.82025,119.68846,3.81969,-1.54436
3.92,3.90184,1.14045,3.90137,0.06417,3.90153,1.46518,3.90038,114.38922,3.90014,1.47864
