t1,f1,t2,v1,t3,re1,,t4,f2,t5,v2,t6,re2,,t7,f3,t8,v3,t9,re3
0.028771,0.64076,0.028178,1.8659,0.030496,568.02,,0.024986,1.1303,0.025772,2.2129,0.027392,275.27,,0.087566,0.72768,0.08135,2.4166,0.081504,621.53
0.070783,0.64191,0.069842,2.802,0.072427,872.24,,0.061632,1.1404,0.059094,1.4385,0.059017,170.9,,0.16462,0.79626,0.16055,2.0403,0.16823,462.98
0.099614,0.70145,0.10027,3.0819,0.10102,948.48,,0.086619,1.1006,0.085834,1.1139,0.08574,126.7,,0.24168,0.82784,0.23835,2.4449,0.25336,543.04
0.12851,0.78187,0.1307,3.3478,0.12961,880.42,,0.10994,1.0595,0.11262,0.96438,0.11252,109.05,,0.33275,0.8139,0.32456,2.1398,0.33241,463.98
0.17258,0.83102,0.16895,3.028,0.17058,780.2,,0.14325,1.011,0.14439,0.63991,0.14596,73.71,,0.42382,0.77435,0.41518,1.3614,0.4193,280.96
0.20215,0.82013,0.19971,2.2614,0.19822,588.71,,0.17157,0.9812,0.17113,0.31535,0.17187,38.357,,0.50788,0.68922,0.49005,1.4109,0.49745,336.5
0.23158,0.7696,0.23035,1.8995,0.22872,501.67,,0.19656,0.9495,0.19801,0.4658,0.19622,63.179,,0.57793,0.60404,0.56933,0.98726,0.57659,245.21
0.27156,0.73108,0.27048,1.6634,0.27065,460.33,,0.23237,0.93026,0.23159,0.63511,0.23146,82.711,,0.669,0.52178,0.66339,0.27998,0.6563,68.26
0.30011,0.70193,0.30108,1.3991,0.30305,392.3,,0.25652,0.96018,0.25683,0.95428,0.25838,132.32,,0.75306,0.45943,0.74799,0.8742,0.74795,240.14
0.33246,0.66966,0.32985,0.89758,0.33164,259.68,,0.28318,1.071,0.28234,2.2172,0.28469,292.54,,0.83012,0.43122,0.83479,0.23772,0.82048,69.265
0.37063,0.66141,0.36994,0.77312,0.37166,229.7,,0.31816,1.1507,0.31588,2.2178,0.31898,259.86,,0.90718,0.403,0.91538,-0.91966,0.91172,302.33
0.40305,0.64896,0.40018,1.653,0.40216,511.02,,0.34398,1.1807,0.3424,1.112,0.34217,127.15,,1.0053,0.41756,1.0044,-0.77502,1.0012,269.22
0.42991,0.68972,0.42927,3.1329,0.4317,978.41,,0.36813,1.0898,0.36751,0.95613,0.36978,109.5,,1.0823,0.44629,1.0857,-0.37024,1.0771,125.9
0.47027,0.77121,0.46817,3.7619,0.46982,1073.7,,0.40311,1.0488,0.40268,0.80671,0.40076,95.4,,1.1594,0.49494,1.1595,2.3065,1.1725,808.7
0.50101,0.83076,0.50075,3.2884,0.50318,857.62,,0.4281,1.0177,0.42946,0.61966,0.42921,76.866,,1.2539,0.62052,1.2482,4.605,1.2428,1503.6
0.53159,0.84022,0.52953,2.745,0.52986,732.57,,0.45308,0.98913,0.45378,0.63881,0.45268,79.562,,1.3275,0.74888,1.3206,4.0154,1.3283,996.27
0.57061,0.80067,0.57165,2.2718,0.56989,615.26,,0.48973,0.95932,0.48816,0.63314,0.48956,84.937,,1.4186,0.86876,1.4072,3.4736,1.4222,825.53
0.59816,0.76004,0.60039,1.84,0.60038,509.23,,0.51388,0.93011,0.51164,0.63353,0.51471,86.752,,1.5096,0.88899,1.4874,2.5529,1.4987,590.43
0.62862,0.73089,0.62908,1.5897,0.62897,452.56,,0.53887,0.91085,0.53679,0.64645,0.53985,88.566,,1.5797,0.87214,1.5814,1.8693,1.582,410.44
0.66863,0.70177,0.66726,1.507,0.6709,452.99,,0.57301,0.98809,0.57483,1.7596,0.57374,263.85,,1.6637,0.82117,1.6665,2.2268,1.6599,508.82
0.69532,0.69035,0.69976,1.2567,0.69949,392.52,,0.59967,1.1201,0.59774,2.6975,0.60241,352.39,,1.7548,0.68767,1.7459,1.7321,1.7497,423.71
0.72775,0.68104,0.72821,1.7599,0.72999,556.12,,0.62465,1.1998,0.62607,2.0667,0.62565,242.7,,1.8319,0.55696,1.8245,1.6634,1.8245,442.52
0.76976,0.68114,0.76596,3.0167,0.76811,962.83,,0.65963,1.1488,0.65776,1.4485,0.65902,170.19,,1.9159,0.4519,1.9032,1.5711,1.9173,446.15
0.79856,0.72921,0.7963,3.5757,0.7986,1115,,0.68295,1.0293,0.68449,1.0989,0.68577,140.15,,1.986,0.39804,1.9902,0.83995,2.0007,253.92
0.82742,0.80023,0.82682,3.5766,0.8291,990.03,,0.70961,0.95844,0.71128,0.94935,0.7092,122.49,,2.0806,0.36989,2.0712,-0.55411,2.0833,181.01
0.86956,0.84103,0.86709,2.894,0.86912,770.18,,0.74459,0.92738,0.74649,0.93744,0.7444,126.1,,2.1471,0.35018,2.1669,-0.16074,2.1627,40.766
0.89912,0.83014,0.89784,2.1413,0.89962,565.43,,0.77041,0.91995,0.77165,0.95036,0.76955,131.45,,2.2452,0.31634,2.2487,-0.0044772,2.2559,-7.6124
0.92856,0.78065,0.92844,1.905,0.9263,516.33,,0.79622,0.91004,0.79596,0.95077,0.79638,138.58,,2.3292,0.32801,2.3333,0.56607,2.333,194.77
0.96665,0.75048,0.96666,1.6549,0.97014,467.41,,0.82954,0.92005,0.82866,0.93881,0.83158,138.64,,2.4063,0.3909,2.417,1.681,2.4088,599.06
0.99906,0.73282,0.99917,1.4046,0.99873,406.94,,0.85453,0.9288,0.85558,1.2705,0.85682,190.01,,2.4974,0.52501,2.4887,1.4937,2.4952,489.45
1.0276,0.70158,1.0278,1.4054,1.0273,411.03,,0.88284,1.011,0.88272,2.3772,0.88395,336.96,,2.5744,0.70747,2.5794,2.7035,2.5793,728.59
1.0695,0.68081,1.0678,1.6298,1.0693,510.19,,0.91699,1.12,0.91639,2.8403,0.91749,348.53,,2.6655,0.83019,2.6498,3.2027,2.665,723
1.0963,0.68088,1.098,2.3981,1.0988,764.91,,0.94114,1.1704,0.94299,2.0282,0.94238,227.33,,2.7356,0.8532,2.7418,3.6551,2.7571,827.58
1.1288,0.71017,1.1264,3.2361,1.1302,1061.4,,0.96946,1.1182,0.9663,1.4286,0.96572,172.51,,2.8126,0.80506,2.8219,2.8054,2.8228,607.71
1.171,0.77184,1.1663,3.7535,1.1703,1099.8,,1.0019,1.0293,1.0023,1.2667,0.99924,170.8,,2.9107,0.73991,2.9092,1.8731,2.9097,430.8
1.1998,0.81782,1.1986,3.9497,1.1989,1069.7,,1.0278,0.95772,1.0266,1.2046,1.0244,163.76,,2.9947,0.6804,2.9938,2.4554,2.9802,559.73
1.2294,0.81998,1.2275,3.1691,1.2274,849.76,,1.0536,0.92042,1.0517,1.155,1.0545,163.81,,3.0718,0.60948,3.066,2.0197,3.0663,499.07
1.2685,0.78981,1.2678,2.5145,1.2694,702.09,,1.0877,0.89683,1.0869,1.0306,1.0897,151.49,,3.1629,0.53718,3.1605,1.0639,3.1677,279.42
1.297,0.7617,1.2984,2.2362,1.3018,637.86,,1.1144,0.89002,1.1146,0.95608,1.1131,140.91,,3.2399,0.46769,3.2401,0.48639,3.2472,136.12
1.3313,0.73048,1.329,1.8743,1.3304,543.21,,1.1402,0.88944,1.1407,1.269,1.1417,186.98,,3.317,0.44517,3.3187,0.42955,3.3293,121.33
1.3684,0.70031,1.3672,1.6242,1.3704,509.44,,1.1743,0.95921,1.1744,2.0446,1.1738,302.08,,3.4081,0.39992,3.4089,-0.124,3.4048,42.248
1.3999,0.68995,1.3996,1.646,1.4009,521.14,,1.1993,1.0788,1.1997,2.695,1.1991,364.07,,3.4781,0.38022,3.4775,-0.5835,3.4893,214.08
1.4286,0.70045,1.43,2.1422,1.4333,673.37,,1.226,1.1796,1.2265,2.4329,1.2274,279.16,,3.5692,0.36914,3.5696,-0.15475,3.5689,55.489
1.4707,0.72142,1.4678,3.2317,1.4695,1023.1,,1.261,1.1585,1.2616,1.8835,1.2608,222.59,,3.6462,0.36655,3.6474,0.22626,3.6616,74.411
1.5014,0.78097,1.499,3.993,1.5,1247.5,,1.2843,1.0702,1.2849,1.5339,1.2876,201.39,,3.7373,0.4181,3.738,1.4597,3.7444,509.33
1.5321,0.82905,1.5287,3.7496,1.5314,1038.9,,1.3134,0.98932,1.3117,1.2719,1.3126,171.35,,3.8319,0.53087,3.8276,3.2612,3.823,1020.7
1.5704,0.86931,1.5689,3.2763,1.5724,891.23,,1.3476,0.93834,1.3469,1.1162,1.3478,157.25,,3.9124,0.66636,3.8996,2.9083,3.907,736.72
1.6009,0.84904,1.5996,2.7609,1.601,754.81,,1.3726,0.90601,1.3704,1.1228,1.373,167.92,,3.9895,0.7805,3.979,2.4609,3.9939,559.81
