t1,f1,t2,vel1,t3,re1,,t4,f2,t5,vel2,t6,re2
0.00028397,0.6037,0.000010996,0.25166,0.00031936,4.8227,,0.0027265,0.49969,0.0001675,1.8392,0,75.243
0.006005,0.6175,0.00456,0.17838,0.0038439,3.7549,,0.0067011,0.50691,0.0041876,1.5617,0.0043551,63.107
0.0088655,0.62701,0.0077317,0.41569,0.0080451,2.6284,,0.010676,0.51765,0.0085427,1.3718,0.0080402,56.311
0.011726,0.63711,0.011846,0.97852,0.012058,6.1005,,0.014688,0.54524,0.012563,2.6418,0.012395,105.34
0.014587,0.648,0.015819,1.4262,0.015795,14.154,,0.018704,0.59399,0.015913,3.5322,0.016415,137.86
0.020308,0.71825,0.020504,1.5533,0.020256,19.238,,0.022718,0.63171,0.020603,3.4445,0.020436,130.58
0.023168,0.76109,0.02376,1.2961,0.024592,19.744,,0.026731,0.66474,0.024288,3.2546,0.024121,116.99
0.026004,0.79281,0.027974,1.5402,0.02816,15.171,,0.030742,0.6862,0.027973,2.948,0.027471,101.46
0.03175,0.89713,0.032652,1.5012,0.032445,17.797,,0.034753,0.70829,0.031993,3.2107,0.031826,105.34
0.03461,0.92844,0.035694,0.8103,0.036122,16.787,,0.038831,0.72624,0.036348,3.4587,0.036348,110.19
0.040331,0.94711,0.040052,0.81591,0.040265,8.8903,,0.043629,0.73945,0.040369,3.444,0.039866,108.74
0.043192,0.93854,0.044352,0.77011,0.044949,8.6894,,0.046777,0.71645,0.044389,3.0206,0.043886,95.146
0.047483,0.947295,0.047639,0.51907,0.048144,8.3468,,0.050784,0.71337,0.048409,2.0132,0.047906,62.621
0.051773,0.95699,0.051801,0.051589,0.052179,5.5527,,0.054787,0.68966,0.052094,1.327,0.051926,42.961
0.054634,0.94034,0.055288,-0.30085,0.05587,2.7491,,0.058885,0.68237,0.055779,1.6334,0.055946,53.398
0.057494,0.92413,0.05966,-0.52876,0.060908,3.1296,,0.062798,0.66418,0.060302,1.5603,0.060302,51.942
0.064646,0.85533,0.064148,-0.64736,0.064237,5.9017,,0.0668,0.63694,0.064154,0.91791,0.064657,31.553
0.067506,0.82586,0.067881,-0.65878,0.067944,7.5985,,0.070804,0.61316,0.067839,1.2244,0.068007,43.689
0.073227,0.73833,0.072034,-0.50249,0.072708,7.9338,,0.074808,0.5953,0.071859,1.5309,0.072362,58.252
0.076088,0.70124,0.076492,-0.34452,0.076393,6.5521,,0.078812,0.57281,0.075879,1.3556,0.076047,52.913
0.078948,0.66414,0.079725,-0.27344,0.079985,4.743,,0.082815,0.54718,0.080067,1.0051,0.080402,41.262
0.083239,0.61721,0.083553,-0.099502,0.084519,3.7402,,0.086821,0.54372,0.08392,1.3992,0.084087,59.223
0.08896,0.58005,0.088363,-0.0076576,0.088093,1.4753,,0.090835,0.54045,0.08861,1.7932,0.088107,74.272
0.09182,0.58353,0.092284,0.15659,0.091597,-0.14151,,0.09496,0.54158,0.09263,1.545,0.092127,66.019
0.094681,0.59116,0.096061,0.15256,0.096217,2.3241,,0.09884,0.52318,0.09665,1.793,0.096482,75.243
0.097541,0.59618,0.099483,-0.060563,0.10077,2.2136,,0.10284,0.50312,0.10034,1.2528,0.099832,52.913
0.1004,0.60168,0.10392,0.099586,0.1044,0.7871,,0.10693,0.4993,0.10469,0.91692,0.10385,39.806
0.10755,0.6034,0.10771,0.73156,0.10809,3.0789,,0.11086,0.50477,0.10838,1.8803,0.10888,79.126
0.11184,0.63288,0.11187,1.4678,0.1119,10.604,,0.1159,0.5264,0.11206,2.5372,0.11189,103.88
0.11583,0.68425,0.11614,1.5716,0.11647,20.351,,0.12042,0.53566,0.11608,2.5517,0.11625,100.97
0.11997,0.76412,0.12016,1.4281,0.12007,20.206,,0.12443,0.57538,0.12077,2.537,0.12027,99.272
0.12408,0.86414,0.12417,1.5116,0.12439,16.678,,0.12691,0.60583,0.12446,3.0916,0.12429,116.02
0.12803,0.95085,0.12808,1.3588,0.12846,16.819,,0.13092,0.65331,0.12848,4.128,0.12864,143.69
